"discount","discount_count"
"213.93","2"
"238.70","2"
"234.22","2"
"35.42","2"
"264.04","2"
"142.57","2"
"96.26","2"
"77.60","2"
"270.42","2"
"222.43","2"
"299.62","2"
"209.53","2"
"97.04","2"
"26.53","2"
"133.58","2"
"213.49","2"
"190.24","1"
"129.55","1"
"116.89","1"
"228.40","1"
"166.42","1"
"179.08","1"
"25.41","1"
"50.85","1"
"130.40","1"
"73.98","1"
"284.65","1"
"247.06","1"
"53.29","1"
"172.76","1"
"279.62","1"
"218.16","1"
"197.60","1"
"120.24","1"
"243.69","1"
"183.80","1"
"77.62","1"
"112.24","1"
"88.63","1"
"235.28","1"
"209.03","1"
"102.92","1"
"99.30","1"
"192.14","1"
"134.87","1"
"225.70","1"
"59.12","1"
"94.02","1"
"137.36","1"
"93.96","1"
"153.25","1"
"190.65","1"
"94.37","1"
"244.56","1"
"124.69","1"
"228.32","1"
"80.37","1"
"296.93","1"
"258.66","1"
"176.38","1"
"244.06","1"
"50.51","1"
"203.79","1"
"38.07","1"
"228.44","1"
"124.27","1"
"83.47","1"
"232.24","1"
"248.50","1"
"236.49","1"
"278.83","1"
"206.58","1"
"75.12","1"
"209.83","1"
"143.04","1"
"208.68","1"
"114.92","1"
"232.04","1"
"195.01","1"
"184.82","1"
"176.87","1"
"193.39","1"
"282.38","1"
"224.35","1"
"149.87","1"
"258.24","1"
"286.34","1"
"11.95","1"
"230.13","1"
"45.80","1"
"46.61","1"
"131.25","1"
"183.69","1"
"212.37","1"
"246.75","1"
"213.70","1"
"149.88","1"
"268.28","1"
"3.69","1"
"288.10","1"
"74.48","1"
"202.00","1"
"20.68","1"
"2.39","1"
"110.48","1"
"123.01","1"
"0.44","1"
"125.94","1"
"69.44","1"
"25.47","1"
"170.35","1"
"277.81","1"
"283.07","1"
"139.82","1"
"139.00","1"
"209.06","1"
"290.52","1"
"297.20","1"
"138.61","1"
"247.10","1"
"22.50","1"
"254.18","1"
"172.17","1"
"64.41","1"
"185.75","1"
"26.32","1"
"298.23","1"
"234.43","1"
"7.82","1"
"230.05","1"
"244.89","1"
"297.46","1"
"209.29","1"
"56.47","1"
"16.85","1"
"184.24","1"
"175.98","1"
"282.58","1"
"47.25","1"
"168.59","1"
"220.20","1"
"284.61","1"
"242.64","1"
"23.34","1"
"201.01","1"
"20.34","1"
"125.90","1"
"30.43","1"
"22.11","1"
"22.26","1"
