"restaurant_id","restaurant_name","total_revenue"
176,"Delhi Darbar 176","13877.56"
92,"Burger Factory 92","13162.58"
288,"Urban Tadka 288","12386.44"
41,"Golden Spoon 41","11065.40"
71,"Saffron Delight 71","11001.43"
212,"Saffron Delight 212","10926.50"
213,"Pizza Junction 213","9479.48"
200,"Chai & Chat 200","9419.76"
147,"The Food Studio 147","9413.07"
252,"Mumbai Masala 252","9088.22"
295,"Spice Villa 295","8926.39"
161,"Pizza Junction 161","8906.70"
253,"Spice Villa 253","8782.96"
56,"Kolkata Kitchen 56","8725.18"
112,"Punjabi Dhaba 112","8374.05"
86,"The Food Studio 86","8230.37"
215,"Dragon Wok 215","8108.65"
201,"Biryani House 201","8083.05"
156,"Pizza Junction 156","7956.84"
146,"Mumbai Masala 146","7868.08"
296,"Bombay Bistro 296","7841.98"
276,"Punjabi Dhaba 276","7791.88"
120,"Delhi Darbar 120","7763.58"
285,"Biryani House 285","7662.93"
284,"Chai & Chat 284","7649.69"
242,"Dragon Wok 242","7591.44"
249,"Golden Spoon 249","7541.99"
158,"Dragon Wok 158","7537.08"
168,"Annapurna Bhavan 168","7496.39"
237,"Mughal Mahal 237","7457.34"
155,"Delhi Darbar 155","7374.86"
74,"Golden Spoon 74","7271.42"
174,"Delhi Darbar 174","7169.82"
55,"Masala Magic 55","7137.17"
103,"The Curry Leaf 103","7027.01"
93,"South Spice 93","6982.75"
300,"Annapurna Bhavan 300","6956.08"
142,"The Curry Leaf 142","6948.59"
259,"Urban Tadka 259","6866.20"
63,"Masala Magic 63","6786.59"
172,"Chutney Express 172","6740.17"
184,"Dragon Wok 184","6702.09"
136,"Punjabi Dhaba 136","6686.82"
35,"Flavours of India 35","6658.59"
177,"Chutney Express 177","6648.56"
233,"Punjabi Dhaba 233","6567.24"
291,"South Spice 291","6539.18"
164,"Mughal Mahal 164","6519.98"
269,"Urban Tadka 269","6514.41"
90,"The Food Studio 90","6476.27"
88,"Burger Factory 88","6297.51"
218,"Annapurna Bhavan 218","6292.83"
196,"Punjabi Dhaba 196","6271.64"
69,"Masala Magic 69","6266.34"
293,"Golden Spoon 293","6241.83"
135,"Mumbai Masala 135","6176.70"
292,"Burger Factory 292","6170.30"
52,"Dragon Wok 52","6141.66"
12,"Curry Kingdom 12","6136.88"
85,"The Hungry Panda 85","6110.71"
79,"Dragon Wok 79","6104.44"
104,"The Food Studio 104","6095.20"
251,"Flavours of India 251","6030.77"
91,"Curry Kingdom 91","6016.86"
60,"Chai & Chat 60","6008.48"
230,"The Curry Leaf 230","5974.01"
236,"Burger Factory 236","5930.62"
268,"The Hungry Panda 268","5905.06"
122,"Kolkata Kitchen 122","5891.62"
84,"Dragon Wok 84","5886.62"
24,"Delhi Darbar 24","5863.55"
219,"South Spice 219","5813.48"
34,"South Spice 34","5793.37"
96,"Mumbai Masala 96","5772.33"
3,"South Spice 3","5731.05"
44,"Golden Spoon 44","5708.91"
267,"Taste of Punjab 267","5697.45"
203,"Golden Spoon 203","5692.39"
193,"The Curry Leaf 193","5691.44"
73,"Kolkata Kitchen 73","5650.35"
133,"Biryani House 133","5538.42"
228,"Pizza Junction 228","5537.71"
145,"South Spice 145","5493.93"
143,"Royal Tandoor 143","5409.79"
226,"Mumbai Masala 226","5377.35"
40,"Pizza Junction 40","5333.85"
243,"South Spice 243","5328.49"
179,"Curry Kingdom 179","5274.47"
77,"The Food Studio 77","5228.25"
214,"Chai & Chat 214","5223.16"
223,"Annapurna Bhavan 223","5209.31"
54,"Royal Tandoor 54","5206.84"
167,"Taste of Punjab 167","5153.39"
